Zip Code,Description,Temperature (°C),Min Temp (°C),Max Temp (°C)
20001,overcast clouds,23.46,21.71,24.41
20002,overcast clouds,23.55,21.79,24.41
20003,overcast clouds,23.55,21.73,24.43
20004,overcast clouds,23.58,21.84,24.54
20005,overcast clouds,23.38,21.69,24.39
20006,overcast clouds,23.36,21.79,24.47
20007,overcast clouds,23.05,21.52,24.22
20008,overcast clouds,23.13,21.57,24.27
20009,overcast clouds,23.18,21.55,24.24
20010,overcast clouds,22.97,21.5,24.13
20011,clear sky,22.86,21.45,24.01
20012,clear sky,22.9,21.37,23.99
20013,overcast clouds,23.58,21.82,24.52
20015,clear sky,22.74,21.34,23.95
20016,overcast clouds,22.65,21.21,23.84
20017,clear sky,23.36,21.68,24.3
20018,clear sky,23.42,21.88,24.31
20019,overcast clouds,23.55,21.94,24.48
20020,overcast clouds,23.18,21.34,24.04
20024,overcast clouds,23.6,21.84,24.54
20026,overcast clouds,23.58,21.82,24.52
20030,overcast clouds,23.58,21.82,24.52
20032,overcast clouds,23.32,21.58,24.28
20036,overcast clouds,23.27,21.72,24.39
20037,overcast clouds,23.38,21.73,24.43
20039,overcast clouds,23.46,21.82,24.5
20040,overcast clouds,23.58,21.82,24.52
20043,overcast clouds,23.46,21.82,24.5
20045,overcast clouds,23.32,21.82,24.45
20049,overcast clouds,23.52,21.79,24.48
20052,overcast clouds,23.21,21.74,24.37
20056,overcast clouds,23.58,21.82,24.52
20057,overcast clouds,23.46,21.82,24.5
20059,overcast clouds,23.46,21.82,24.5
20060,overcast clouds,23.35,21.67,24.36
20062,overcast clouds,23.25,21.76,24.39
20064,clear sky,23.29,21.61,24.23
20201,overcast clouds,23.46,21.82,24.5
20202,overcast clouds,23.46,21.82,24.5
20208,overcast clouds,23.54,21.78,24.48
20210,overcast clouds,23.58,21.82,24.52
20211,overcast clouds,23.58,21.82,24.52
20212,overcast clouds,23.46,21.82,24.5
20213,overcast clouds,23.46,21.82,24.5
20215,overcast clouds,23.46,21.82,24.5
20216,overcast clouds,23.38,21.73,24.41
20217,overcast clouds,23.58,21.82,24.52
20220,overcast clouds,23.46,21.82,24.5
20221,overcast clouds,23.46,21.82,24.5
20222,overcast clouds,23.46,21.82,24.5
20223,overcast clouds,23.58,21.82,24.52
20224,overcast clouds,23.58,21.82,24.52
20226,overcast clouds,23.46,21.82,24.5
20227,overcast clouds,23.46,21.82,24.5
20228,overcast clouds,23.46,21.82,24.5
20229,overcast clouds,23.46,21.82,24.5
20230,overcast clouds,23.58,21.82,24.52
20237,overcast clouds,23.28,21.82,24.45
20239,overcast clouds,23.58,21.82,24.52
20240,overcast clouds,23.26,21.8,24.43
20242,overcast clouds,23.45,21.85,24.52
20245,overcast clouds,23.46,21.82,24.5
20250,overcast clouds,23.29,21.81,24.44
20254,overcast clouds,23.58,21.82,24.52
20260,overcast clouds,23.46,21.82,24.5
20261,overcast clouds,23.46,21.82,24.5
20268,overcast clouds,23.46,21.82,24.5
20314,overcast clouds,23.58,21.82,24.52
20317,clear sky,22.84,21.36,23.99
20319,overcast clouds,23.47,21.84,24.51
20340,overcast clouds,23.58,21.82,24.52
20372,overcast clouds,23.58,21.82,24.52
20373,overcast clouds,23.3,21.82,24.45
20374,overcast clouds,23.28,21.82,24.45
20375,overcast clouds,23.25,21.56,24.25
20376,overcast clouds,23.41,21.64,24.34
20388,overcast clouds,23.3,21.82,24.45
20390,overcast clouds,23.46,21.82,24.5
20392,overcast clouds,23.58,21.82,24.52
20398,overcast clouds,23.49,21.82,24.5
20401,overcast clouds,23.58,21.82,24.52
20402,overcast clouds,23.58,21.82,24.52
20403,overcast clouds,23.46,21.82,24.5
20404,overcast clouds,23.53,21.78,24.48
20405,overcast clouds,23.58,21.82,24.52
20407,overcast clouds,23.46,21.82,24.5
20408,overcast clouds,23.58,21.82,24.52
20410,overcast clouds,23.46,21.82,24.5
20411,overcast clouds,23.58,21.83,24.53
20412,overcast clouds,23.41,21.79,24.47
20415,overcast clouds,23.46,21.82,24.5
20416,overcast clouds,23.58,21.82,24.52
20418,overcast clouds,23.38,21.77,24.47
20419,overcast clouds,23.46,21.82,24.5
20420,overcast clouds,23.4,21.71,24.41
20422,overcast clouds,23.58,21.82,24.52
20423,overcast clouds,23.46,21.82,24.5
20425,overcast clouds,23.46,21.82,24.5
20426,overcast clouds,23.58,21.82,24.52
20427,overcast clouds,23.38,21.75,24.45
20429,overcast clouds,23.46,21.82,24.5
20431,overcast clouds,23.21,21.75,24.38
